language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens
Albanian		I	1209	1209	unə	1068	u n ə
English		I	1209	1209	ai	1066	ai
French		I	1209	1209	ʒə	1066	ʒ ə
German		I	1209	1209	ix	1066	i x
Hawaiian		I	1209	1209	au	1070	a u
Navajo		I	1209	1209	ʃi	1069	ʃ i
Turkish		I	1209	1209	ben	1067	b e n
Albanian		all	98	98	ɟiθ	4	ɟ i θ
English		all	98	98	ɔl	1	ɔ l
French		all	98	98	tut	2	t u t
German		all	98	98	al	1	a l
Hawaiian		all	98	98	apau	7	a p a u
Navajo		all	98	98	ʔayɬʦo	5	ʔ ai ɬ ts o
Turkish		all	98	98	bytyn	3	b y t y n
Albanian		and	1577	1577	e	-916	e
English		and	1577	1577	and	915	a n d
French		and	1577	1577	e	916	e
German		and	1577	1577	unt	915	u n t
Hawaiian		and	1577	1577	aː	919	aː
Navajo		and	1577	1577	doː	918	d oː
Turkish		and	1577	1577	ve	-917	v e
Albanian		animal	619	619	kafʃ	-1018	k a f ʃ
English		animal	619	619	anəməl	-1016	a n ə m ə l
French		animal	619	619	animal	-1016	a n i m a l
German		animal	619	619	tiːr	1015	t iː r
Hawaiian		animal	619	619	holoholona	1020	h o l o h o l o n a
Navajo		animal	619	619	naːldeːhiː	1019	n aː l d eː h iː
Turkish		animal	619	619	hajvan	-1017	h a j v a n
Albanian		ashes	646	646	hir	274	h i r
English		ashes	646	646	aʃ	271	a ʃ
French		ashes	646	646	sɑ̃dr	272	s ɑ̃ d r
German		ashes	646	646	aʃə	271	a ʃ ə
Hawaiian		ashes	646	646	lehu	276	l e h u
Navajo		ashes	646	646	ɬeːʃʧˀih	275	ɬ eː ʃ tʃˀ i h
Turkish		ashes	646	646	kyl	273	k y l
Albanian		at	1461	1461	nə	954	n ə
English		at	1461	1461	at	952	a t
French		at	1461	1461	a	952	a
German		at	1461	1461	an	951	a n
Hawaiian		at	1461	1461	ma	956	m a
Navajo		at	1461	1461	di	955	d i
Turkish		at	1461	1461	de	953	d e
Albanian		back	1291	1291	ʃpin	-369	ʃ p i n
English		back	1291	1291	bak	367	b a k
French		back	1291	1291	do	366	d o
German		back	1291	1291	rykən	365	r y k ə n
Hawaiian		back	1291	1291	kua	372	k u a
Navajo		back	1291	1291	nayɣah	370	n ai ɣ a h
Turkish		back	1291	1291	arka	368	a r k a
Albanian		bad	1292	1292	kec	-281	k e c
English		bad	1292	1292	bad	279	b a d
French		bad	1292	1292	mɔvɛz	278	m ɔ v ɛ z
German		bad	1292	1292	ʃlext	277	ʃ l e x t
Hawaiian		bad	1292	1292	ʔino	283	ʔ i n o
Navajo		bad	1292	1292	jayʔayʃõõ	282	j ai ʔ ai ʃ õ õ
Turkish		bad	1292	1292	køty	-280	k ø t y
Albanian		bark	1204	1204	ʃkəlboz	413	ʃ k ə l b o z
English		bark	1204	1204	bɑrk	-411	b ɑ r k
French		bark	1204	1204	ekɔrs	410	e k ɔ r s
German		bark	1204	1204	rində	409	r i n d ə
Hawaiian		bark	1204	1204	ʔili	415	ʔ i l i
Navajo		bark	1204	1204	kayʃtˀoːʒ	414	k ai ʃ tˀ oː ʒ
Turkish		bark	1204	1204	kabuk	412	k a b u k
Albanian		because	1157	1157	sepse	336	s e p s e
English		because	1157	1157	bəkɔz	-337	b ə k ɔ z
French		because	1157	1157	pars	336	p a r s
German		because	1157	1157	vail	335	v ai l
Hawaiian		because	1157	1157	aːmea	341	aː m e a
Navajo		because	1157	1157	haːlay	339	h aː l ai
Turkish		because	1157	1157	ʧynky	338	tʃ y n k y
Albanian		belly	1251	1251	bark	1012	b a r k
English		belly	1251	1251	bɛli	1010	b ɛ l i
French		belly	1251	1251	vɑ̃tr	1009	v ɑ̃ t r
German		belly	1251	1251	baux	1008	b au x
Hawaiian		belly	1251	1251	ʔoːpuː	1014	ʔ oː p uː
Navajo		belly	1251	1251	bid	1013	b i d
Turkish		belly	1251	1251	karn	1011	k a r n
Albanian		big	1202	1202	mað	198	m a ð
English		big	1202	1202	bɪg	196	b ɪ g
French		big	1202	1202	grɑ̃d	195	g r ɑ̃ d
German		big	1202	1202	groːs	194	g r oː s
Hawaiian		big	1202	1202	nui	200	n u i
Navajo		big	1202	1202	ʔayniɬʦo	199	ʔ ai n i ɬ ts o
Turkish		big	1202	1202	byjyk	197	b y j y k
Albanian		bird	937	937	zog	-482	z o g
English		bird	937	937	bərd	480	b ə r d
French		bird	937	937	wazo	479	w a z o
German		bird	937	937	foːgəl	478	f oː g ə l
Hawaiian		bird	937	937	manu	484	m a n u
Navajo		bird	937	937	ʦidiː	483	ts i d iː
Turkish		bird	937	937	kuʃ	481	k u ʃ
Albanian		bite	1403	1403	kafʃo	714	k a f ʃ o
English		bite	1403	1403	bait	711	b ai t
French		bite	1403	1403	mɔr	712	m ɔ r
German		bite	1403	1403	bais	711	b ai s
Hawaiian		bite	1403	1403	nahu	716	n a h u
Navajo		bite	1403	1403	ʔahayɬhaːʃ	715	ʔ a h ai ɬ h aː ʃ
Turkish		bite	1403	1403	ɯsɯr	713	ɯ s ɯ r
Albanian		black	163	163	zez	133	z e z
English		black	163	163	blak	131	b l a k
French		black	163	163	nwar	130	n w a r
German		black	163	163	ʃvarʦ	129	ʃ v a r ts
Hawaiian		black	163	163	ʔeleʔele	136	ʔ e l e ʔ e l e
Navajo		black	163	163	ɬiʒin	134	ɬ i ʒ i n
Turkish		black	163	163	kara	132	k a r a
Albanian		blood	946	946	ɟakr	1115	ɟ a k r
English		blood	946	946	bləd	1112	b l ə d
French		blood	946	946	sɑ̃	1113	s ɑ̃
German		blood	946	946	bluːt	1112	b l uː t
Hawaiian		blood	946	946	koko	1117	k o k o
Navajo		blood	946	946	diɬ	1116	d i ɬ
Turkish		blood	946	946	kan	1114	k a n
Albanian		blow	175	175	fry	81	f r y
English		blow	175	175	blo	78	b l o
French		blow	175	175	vɑ̃te	79	v ɑ̃ t e
German		blow	175	175	blaːz	78	b l aː z
Hawaiian		blow	175	175	puhi	83	p u h i
Navajo		blow	175	175	niʧˀi	82	n i tʃˀ i
Turkish		blow	175	175	es	80	e s
Albanian		bone	1394	1394	koʦk	608	k o ts k
English		bone	1394	1394	bon	606	b o n
French		bone	1394	1394	ɔs	605	ɔ s
German		bone	1394	1394	knoxən	604	k n o x ə n
Hawaiian		bone	1394	1394	iwi	610	i w i
Navajo		bone	1394	1394	ʦˀin	609	tsˀ i n
Turkish		bone	1394	1394	kemik	607	k e m i k
Albanian		breast	1402	1402	ɟir	208	ɟ i r
English		breast	1402	1402	brɛst	205	b r ɛ s t
French		breast	1402	1402	sɛ̃	206	s ɛ̃
German		breast	1402	1402	brust	205	b r u s t
Hawaiian		breast	1402	1402	uː	211	uː
Navajo		breast	1402	1402	beʔ	209	b e ʔ
Turkish		breast	1402	1402	meme	207	m e m e
Albanian		breathe	1407	1407	frym	755	f r y m
English		breathe	1407	1407	brið	753	b r i ð
French		breathe	1407	1407	rɛspire	-752	r ɛ s p i r e
German		breathe	1407	1407	aːtm	751	aː t m
Hawaiian		breathe	1407	1407	hanu	757	h a n u
Navajo		breathe	1407	1407	ńdiʣih	756	n̩ d i dz i h
Turkish		breathe	1407	1407	nefes	-754	n e f e s
Albanian		burn	2102	2102	diɟ	516	d i ɟ
English		burn	2102	2102	bərn	514	b ə r n
French		burn	2102	2102	bryle	-514	b r y l e
German		burn	2102	2102	bren	514	b r e n
Hawaiian		burn	2102	2102	ʔaː	519	ʔ aː
Navajo		burn	2102	2102	diltˡiʔ	517	d i l tˡ i ʔ
Turkish		burn	2102	2102	jan	515	j a n
Albanian		child	2099	2099	fəmiʎ	-804	f ə m i ʎ
English		child	2099	2099	ʧaild	802	tʃ ai l d
French		child	2099	2099	ɑ̃fɑ̃t	801	ɑ̃ f ɑ̃ t
German		child	2099	2099	kind	800	k i n d
Hawaiian		child	2099	2099	keiki	807	k e i k i
Navajo		child	2099	2099	ʔʃkiː	805	ʔ ʃ k iː
Turkish		child	2099	2099	ʧoʤuk	803	tʃ o dʒ u k
Albanian		claw	72	72	θon	304	θ o n
English		claw	72	72	klɔ	301	k l ɔ
French		claw	72	72	grif	-302	g r i f
German		claw	72	72	klauə	301	k l au ə
Hawaiian		claw	72	72	mikiʔao	307	m i k i ʔ a o
Navajo		claw	72	72	keʃgaː	305	k e ʃ g aː
Turkish		claw	72	72	tɯrnak	303	t ɯ r n a k
Albanian		cloud	1489	1489	re	698	r e
English		cloud	1489	1489	klaud	696	k l au d
French		cloud	1489	1489	nɥaʒ	695	n ɥ a ʒ
German		cloud	1489	1489	volkə	694	v o l k ə
Hawaiian		cloud	1489	1489	ao	700	a o
Navajo		cloud	1489	1489	kˀos	699	kˀ o s
Turkish		cloud	1489	1489	bulut	697	b u l u t
Albanian		cold	2483	2483	ftohət	75	f t o h ə t
English		cold	2483	2483	kold	72	k o l d
French		cold	2483	2483	frwad	73	f r w a d
German		cold	2483	2483	kalt	72	k a l t
Hawaiian		cold	2483	2483	anu	77	a n u
Navajo		cold	2483	2483	sikˀaz	76	s i kˀ a z
Turkish		cold	2483	2483	soɣuk	74	s o ɣ u k
Albanian		come	1446	1446	vjen	-560	v j e n
English		come	1446	1446	kəm	560	k ə m
French		come	1446	1446	vjɛ̃	560	v j ɛ̃
German		come	1446	1446	kom	560	k o m
Hawaiian		come	1446	1446	hele	563	h e l e
Navajo		come	1446	1446	jiɣaːh	562	j i ɣ aː h
Turkish		come	1446	1446	gel	561	g e l
Albanian		count	1420	1420	numəruar	-164	n u m ə r u a r
English		count	1420	1420	kaunt	-162	k au n t
French		count	1420	1420	kɔ̃te	162	k ɔ̃ t e
German		count	1420	1420	ʦeːl	161	ts eː l
Hawaiian		count	1420	1420	helu	166	h e l u
Navajo		count	1420	1420	iːniɬtaʔ	165	iː n i ɬ t a ʔ
Turkish		count	1420	1420	saj	163	s a j
Albanian		cut	1432	1432	pres	88	p r e s
English		cut	1432	1432	kət	-86	k ə t
French		cut	1432	1432	kupe	-85	k u p e
German		cut	1432	1432	ʃnaid	84	ʃ n ai d
Hawaiian		cut	1432	1432	ʔoki	91	ʔ o k i
Navajo		cut	1432	1432	ʔahaygeːʃ	89	ʔ a h ai g eː ʃ
Turkish		cut	1432	1432	kes	87	k e s
Albanian		day	1225	1225	dit	241	d i t
English		day	1225	1225	de	238	d e
French		day	1225	1225	ʒur	239	ʒ u r
German		day	1225	1225	taːg	238	t aː g
Hawaiian		day	1225	1225	laː	243	l aː
Navajo		day	1225	1225	ʤĩ́	242	dʒ ĩ
Turkish		day	1225	1225	gyn	240	g y n
Albanian		die	1494	1494	vdes	260	v d e s
English		die	1494	1494	dai	-258	d ai
French		die	1494	1494	mœr	257	m œ r
German		die	1494	1494	ʃterb	256	ʃ t e r b
Hawaiian		die	1494	1494	make	262	m a k e
Navajo		die	1494	1494	daːzʦã́	261	d aː z ts ã
Turkish		die	1494	1494	øl	259	ø l
Albanian		dig	1418	1418	gərmo	543	g ə r m o
English		dig	1418	1418	dɪg	-541	d ɪ g
French		dig	1418	1418	krøze	-540	k r ø z e
German		dig	1418	1418	graːb	539	g r aː b
Hawaiian		dig	1418	1418	ʔeli	546	ʔ e l i
Navajo		dig	1418	1418	hahageːd	544	h a h a g eː d
Turkish		dig	1418	1418	kaz	542	k a z
Albanian		dirty	1230	1230	ndyr	900	n d y r
English		dirty	1230	1230	dərti	-898	d ə r t i
French		dirty	1230	1230	sal	-897	s a l
German		dirty	1230	1230	ʃmuʦix	896	ʃ m u ts i x
Hawaiian		dirty	1230	1230	lepo	903	l e p o
Navajo		dirty	1230	1230	baːʔih	901	b aː ʔ i h
Turkish		dirty	1230	1230	pis	-899	p i s
Albanian		dog	2009	2009	cen	-1181	c e n
English		dog	2009	2009	dɑg	1182	d ɑ g
French		dog	2009	2009	ʃjɛn	1181	ʃ j ɛ n
German		dog	2009	2009	hund	1181	h u n d
Hawaiian		dog	2009	2009	ʔiːlio	1185	ʔ iː l i o
Navajo		dog	2009	2009	ɬeːʧãːʔi	1184	ɬ eː tʃ ãː ʔ i
Turkish		dog	2009	2009	køpek	1183	k ø p e k
Albanian		drink	1401	1401	pi	1079	p i
English		drink	1401	1401	drɪŋk	1078	d r ɪ ŋ k
French		drink	1401	1401	bwa	1079	b w a
German		drink	1401	1401	triŋk	1078	t r i ŋ k
Hawaiian		drink	1401	1401	inu	1082	i n u
Navajo		drink	1401	1401	ʔadˡã́	1081	ʔ a dˡ ã
Turkish		drink	1401	1401	iʧ	1080	i tʃ
Albanian		dry	1398	1398	θat	575	θ a t
English		dry	1398	1398	drai	572	d r ai
French		dry	1398	1398	sɛʃ	573	s ɛ ʃ
German		dry	1398	1398	trokən	572	t r o k ə n
Hawaiian		dry	1398	1398	maloʔo	577	m a l o ʔ o
Navajo		dry	1398	1398	jiɬʦeiː	576	j i ɬ ts e iː
Turkish		dry	1398	1398	kuru	574	k u r u
Albanian		dull	379	379	mpreht	823	m p r e h t
English		dull	379	379	dəl	821	d ə l
French		dull	379	379	emuse	820	e m u s e
German		dull	379	379	ʃtump͡f	819	ʃ t u m pf
Hawaiian		dull	379	379	kuːmuːmuː	826	k uː m uː m uː
Navajo		dull	379	379	deːni	824	d eː n i
Turkish		dull	379	379	kør	-822	k ø r
Albanian		dust	2	2	pluhur	1122	p l u h u r
English		dust	2	2	dəst	1120	d ə s t
French		dust	2	2	pusjɛr	1119	p u s j ɛ r
German		dust	2	2	ʃtaub	1118	ʃ t au b
Hawaiian		dust	2	2	ʔehu	1124	ʔ e h u
Navajo		dust	2	2	ɬeːʒ	1123	ɬ eː ʒ
Turkish		dust	2	2	toz	1121	t o z
Albanian		ear	1247	1247	veʃ	438	v e ʃ
English		ear	1247	1247	ɪr	438	ɪ r
French		ear	1247	1247	ɔrɛj	438	ɔ r ɛ j
German		ear	1247	1247	oːr	438	oː r
Hawaiian		ear	1247	1247	pepeiao	441	p e p e i a o
Navajo		ear	1247	1247	ʤaːʔ	440	dʒ aː ʔ
Turkish		ear	1247	1247	kulak	439	k u l a k
Albanian		earth	1228	1228	ðer	69	ð e r
English		earth	1228	1228	ərθ	66	ə r θ
French		earth	1228	1228	tɛr	67	t ɛ r
German		earth	1228	1228	eːrdə	66	eː r d ə
Hawaiian		earth	1228	1228	lepo	71	l e p o
Navajo		earth	1228	1228	ɬeːʒ	70	ɬ eː ʒ
Turkish		earth	1228	1228	toprak	68	t o p r a k
Albanian		eat	1336	1336	ha	119	h a
English		eat	1336	1336	it	116	i t
French		eat	1336	1336	mɑ̃ʒe	117	m ɑ̃ ʒ e
German		eat	1336	1336	es	116	e s
Hawaiian		eat	1336	1336	ʔai	121	ʔ a i
Navajo		eat	1336	1336	ʔajã́	120	ʔ a j ã
Turkish		eat	1336	1336	je	118	j e
Albanian		egg	744	744	vez	1222	v e z
English		egg	744	744	ɛg	-1222	ɛ g
French		egg	744	744	œf	1222	œ f
German		egg	744	744	ai	1222	ai
Hawaiian		egg	744	744	hua	1225	h u a
Navajo		egg	744	744	jẽːʒiː	1224	j ẽː ʒ iː
Turkish		egg	744	744	jumurta	1223	j u m u r t a
Albanian		eye	1248	1248	syr	708	s y r
English		eye	1248	1248	ai	706	ai
French		eye	1248	1248	œj	706	œ j
German		eye	1248	1248	augə	706	au g ə
Hawaiian		eye	1248	1248	maka	710	m a k a
Navajo		eye	1248	1248	naːʔ	709	n aː ʔ
Turkish		eye	1248	1248	gøz	707	g ø z
Albanian		fall	1280	1280	bie	223	b i e
English		fall	1280	1280	fɔl	220	f ɔ l
French		fall	1280	1280	tɔ̃be	-221	t ɔ̃ b e
German		fall	1280	1280	fal	220	f a l
Hawaiian		fall	1280	1280	hina	226	h i n a
Navajo		fall	1280	1280	naːtˡiːʃ	224	n aː tˡ iː ʃ
Turkish		fall	1280	1280	dyʃ	222	d y ʃ
Albanian		far	1406	1406	larg	-191	l a r g
English		far	1406	1406	fɑr	188	f ɑ r
French		far	1406	1406	lwɛ̃	189	l w ɛ̃
German		far	1406	1406	fern	188	f e r n
Hawaiian		far	1406	1406	mamao	193	m a m a o
Navajo		far	1406	1406	nizah	192	n i z a h
Turkish		far	1406	1406	uzak	190	u z a k
Albanian		father	1217	1217	babə	-107	b a b ə
English		father	1217	1217	fɑðər	106	f ɑ ð ə r
French		father	1217	1217	pɛr	106	p ɛ r
German		father	1217	1217	faːtər	106	f aː t ə r
Hawaiian		father	1217	1217	makuakaːne	109	m a k u a k aː n e
Navajo		father	1217	1217	taːʔ	108	t aː ʔ
Turkish		father	1217	1217	baba	107	b a b a
Albanian		feather	1201	1201	pend	748	p e n d
English		feather	1201	1201	fɛðər	745	f ɛ ð ə r
French		feather	1201	1201	plym	746	p l y m
German		feather	1201	1201	feːdər	745	f eː d ə r
Hawaiian		feather	1201	1201	hulu	750	h u l u
Navajo		feather	1201	1201	tˀaʔ	749	tˀ a ʔ
Turkish		feather	1201	1201	tyj	747	t y j
Albanian		few	1242	1242	pak	-741	p a k
English		few	1242	1242	fju	741	f j u
French		few	1242	1242	pø	741	p ø
German		few	1242	1242	veːnig	740	v eː n i g
Hawaiian		few	1242	1242	kakaʔikahi	744	k a k a ʔ i k a h i
Navajo		few	1242	1242	dikwiː	743	d i k w iː
Turkish		few	1242	1242	az	742	a z
Albanian		fight	1423	1423	lufto	-736	l u f t o
English		fight	1423	1423	fait	734	f ai t
French		fight	1423	1423	bat	733	b a t
German		fight	1423	1423	kamp͡f	-732	k a m pf
Hawaiian		fight	1423	1423	hakakaː	739	h a k a k aː
Navajo		fight	1423	1423	ʔahigã́	737	ʔ a h i g ã
Turkish		fight	1423	1423	døvyʃ	735	d ø v y ʃ
Albanian		fire	221	221	zjarː	782	z j a rː
English		fire	221	221	faiər	779	f ai ə r
French		fire	221	221	fø	780	f ø
